"A. POPULATION AND ANNUAL POPULATION GROWTH RATE OF THE PHILIPPINES AND ITS REGIONS, PROVINCES, AND HIGHLY",,,,,,,,,,,,,
"URBANIZED CITIES BASED ON THE 2010, 2015, 2020, AND 2024 POPULATION CENSUSES",,,,,,,,,,,,,
,,,,,,,,,,,,,
"REGION, PROVINCE, AND HIGHLY
URBANIZED CITY",,TOTAL POPULATION,,,,,,,,POPULATION GROWTH RATE,,,
,,01-May-10,,01-Aug-15,,01-May-20,,01-Jul-24,,2010-2015,2015-2020,2015-2024,2020-2024
,,,,,,,,,,,,,
PHILIPPINES,,"92,337,852",a,"100,981,437",b,"109,035,343",c,"112,729,484",d,1.72,1.63,1.24,0.80
,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),,"11,855,975",,"12,877,253",,"13,484,462",,"14,001,751",,1.58,0.97,0.94,0.91
CITY OF CALOOCAN,,"1,489,040",,"1,583,978",,"1,661,584",,"1,712,945",,1.18,1.01,0.88,0.73
CITY OF LAS PI„AS,,"552,573",,"588,894",,"606,293",,"615,549",,1.22,0.61,0.50,0.36
CITY OF MAKATI 1,,"263,683",,"280,150",,"292,743",,"309,770",,1.16,0.93,1.13,1.37
CITY OF MALABON,,"353,337",,"365,525",,"380,522",,"389,929",,0.65,0.85,0.73,0.59
CITY OF MANDALUYONG,,"328,699",,"386,276",,"425,758",,"465,902",,3.12,2.07,2.12,2.18
CITY OF MANILA,,"1,652,171",,"1,780,148",,"1,846,513",,"1,902,590",,1.43,0.77,0.75,0.72
CITY OF MARIKINA,,"424,150",,"450,741",,"456,059",,"471,323",,1.16,0.25,0.50,0.79
CITY OF MUNTINLUPA,,"459,941",,"504,509",,"543,445",,"552,225",,1.78,1.58,1.02,0.39
CITY OF NAVOTAS,,"249,131",,"249,463",,"247,543",,"252,878",,0.03,-0.16,0.15,0.51
CITY OF PARA„AQUE,,"588,126",,"665,822",,"689,992",,"703,245",,2.39,0.75,0.61,0.46
PASAY CITY,,"392,869",,"416,522",,"440,656",,"453,186",,1.12,1.19,0.95,0.67
CITY OF PASIG,,"669,773",,"755,300",,"803,159",,"853,050",,2.31,1.30,1.37,1.46
QUEZON CITY,,"2,761,720",,"2,936,116",,"2,960,048",,"3,084,270",,1.17,0.17,0.55,0.99
CITY OF SAN JUAN,,"121,430",,"122,180",,"126,347",,"134,312",,0.12,0.71,1.07,1.48
CITY OF TAGUIG 2,,"909,829",,"1,107,367",,"1,223,595",,"1,308,085",,3.81,2.12,1.88,1.61
CITY OF VALENZUELA,,"575,356",,"620,422",,"714,978",,"725,173",,1.45,3.03,1.76,0.34
PATEROS,,"64,147",,"63,840",,"65,227",,"67,319",,-0.09,0.45,0.60,0.76
,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),,"1,616,867",,"1,722,006",,"1,797,660",,"1,808,985",,1.21,0.91,0.55,0.15
ABRA,,"234,733",,"241,160",,"250,985",,"246,948",,0.52,0.84,0.27,-0.39
APAYAO,,"112,636",,"119,184",,"124,366",,"126,587",,1.08,0.90,0.68,0.43
BENGUET *,,"403,944",,"446,224",,"460,683",,"473,190",,1.91,0.67,0.66,0.64
CITY OF BAGUIO,,"318,676",,"345,366",,"366,358",,"368,426",,1.54,1.25,0.73,0.14
IFUGAO,,"191,078",,"202,802",,"207,498",,"208,668",,1.14,0.48,0.32,0.13
KALINGA,,"201,613",,"212,680",,"229,570",,"235,391",,1.02,1.62,1.14,0.60
MOUNTAIN PROVINCE,,"154,187",,"154,590",,"158,200",,"149,775",,0.05,0.49,-0.35,-1.30
,,,,,,,,,,,,,
REGION I (ILOCOS REGION),,"4,748,372",,"5,026,128",,"5,301,139",,"5,342,453",,1.09,1.13,0.69,0.19
ILOCOS NORTE,,"568,017",,"593,081",,"609,588",,"618,850",,0.83,0.58,0.48,0.36
ILOCOS SUR,,"658,587",,"689,668",,"706,009",,"709,991",,0.88,0.49,0.33,0.13
LA UNION,,"741,906",,"786,653",,"822,352",,"825,072",,1.12,0.94,0.54,0.08
PANGASINAN,,"2,779,862",,"2,956,726",,"3,163,190",,"3,188,540",,1.18,1.43,0.85,0.19
,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),,"3,229,163",,"3,451,410",,"3,685,744",,"3,777,608",,1.27,1.39,1.02,0.59
BATANES,,"16,604",,"17,246",,"18,831",,"18,937",,0.72,1.87,1.05,0.13
CAGAYAN,,"1,124,773",,"1,199,320",,"1,268,603",,"1,284,676",,1.23,1.19,0.77,0.30
ISABELA,,"1,489,645",,"1,593,566",,"1,697,050",,"1,733,048",,1.29,1.33,0.94,0.50
NUEVA VIZCAYA,,"421,355",,"452,287",,"497,432",,"530,106",,1.36,2.02,1.80,1.54
QUIRINO,,"176,786",,"188,991",,"203,828",,"210,841",,1.28,1.60,1.23,0.81
,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),,"10,137,737",,"11,218,177",,"12,422,172",,"12,989,074",,1.95,2.17,1.66,1.08
AURORA,,"201,233",,"214,336",,"235,750",,"240,824",,1.21,2.02,1.31,0.51
BATAAN,,"687,482",,"760,650",,"853,373",,"891,440",,1.94,2.45,1.79,1.05
BULACAN,,"2,924,433",,"3,292,071",,"3,708,890",,"3,876,806",,2.28,2.54,1.85,1.07
NUEVA ECIJA,,"1,955,373",,"2,151,461",,"2,310,134",,"2,395,816",,1.84,1.51,1.21,0.88
PAMPANGA *,,"2,014,019",,"2,198,110",,"2,437,709",,"2,586,446",,1.68,2.20,1.84,1.43
CITY OF ANGELES,,"326,336",,"411,634",,"462,928",,"483,452",,4.52,2.50,1.82,1.05
TARLAC,,"1,273,240",,"1,366,027",,"1,503,456",,"1,568,162",,1.35,2.04,1.56,1.02
ZAMBALES *,,"534,443",,"590,848",,"649,615",,"681,225",,1.93,2.01,1.61,1.15
CITY OF OLONGAPO,,"221,178",,"233,040",,"260,317",,"264,903",,1.00,2.36,1.45,0.42
,,,,,,,,,,,,,
REGION IV-A (CALABARZON),,"12,609,803",,"14,414,774",,"16,195,042",,"16,933,234",,2.58,2.48,1.82,1.07
BATANGAS,,"2,377,395",,"2,694,335",,"2,908,494",,"2,994,795",,2.41,1.62,1.19,0.70
CAVITE,,"3,090,691",,"3,678,301",,"4,344,829",,"4,573,884",,3.37,3.57,2.47,1.24
LAGUNA,,"2,669,847",,"3,035,081",,"3,382,193",,"3,687,345",,2.47,2.30,2.21,2.09
QUEZON *,,"1,740,638",,"1,856,582",,"1,950,459",,"1,980,338",,1.23,1.04,0.73,0.37
CITY OF LUCENA ,,"246,392",,"266,248",,"278,924",,"280,331",,1.49,0.98,0.58,0.12
RIZAL,,"2,484,840",,"2,884,227",,"3,330,143",,"3,416,541",,2.88,3.07,1.92,0.62
,,,,,,,,,,,,,
MIMAROPA REGION,,"2,744,671",,"2,963,360",,"3,228,558",,"3,245,446",,1.47,1.82,1.02,0.13
MARINDUQUE,,"227,828",,"234,521",,"239,207",,"226,522",,0.55,0.42,-0.39,-1.30
OCCIDENTAL MINDORO,,"452,971",,"487,414",,"525,354",,"511,417",,1.40,1.59,0.54,-0.64
ORIENTAL MINDORO,,"785,602",,"844,059",,"908,339",,"919,504",,1.38,1.56,0.96,0.29
PALAWAN *,,"771,667",,"849,469",,"939,594",,"968,795",,1.84,2.14,1.48,0.74
CITY OF PUERTO PRINCESA ,,"222,673",,"255,116",,"307,079",,"316,384",,2.62,3.98,2.44,0.72
ROMBLON,,"283,930",,"292,781",,"308,985",,"302,824",,0.59,1.14,0.38,-0.48
,,,,,,,,,,,,,
REGION V (BICOL REGION),,"5,420,411",,"5,796,989",,"6,082,165",,"6,064,426",,1.29,1.02,0.51,-0.07
ALBAY,,"1,233,432",,"1,314,826",,"1,374,768",,"1,379,398",,1.22,0.94,0.54,0.08
CAMARINES NORTE,,"542,915",,"583,313",,"629,699",,"604,666",,1.38,1.62,0.40,-0.97
CAMARINES SUR,,"1,822,371",,"1,952,544",,"2,068,244",,"2,063,314",,1.32,1.22,0.62,-0.06
CATANDUANES,,"246,300",,"260,964",,"271,879",,"261,169",,1.11,0.87,0.01,-0.96
MASBATE,,"834,650",,"892,393",,"908,920",,"910,813",,1.28,0.39,0.23,0.05
SORSOGON,,"740,743",,"792,949",,"828,655",,"845,066",,1.30,0.93,0.72,0.47
,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),,"4,194,579",,"4,477,247",,"4,730,768",,"4,861,911",,1.25,1.17,0.93,0.66
AKLAN,,"535,725",,"574,823",,"615,475",,"634,422",,1.35,1.45,1.11,0.73
ANTIQUE,,"546,031",,"582,012",,"612,974",,"643,173",,1.22,1.10,1.13,1.16
CAPIZ,,"719,685",,"761,384",,"804,952",,"835,098",,1.08,1.18,1.04,0.89
GUIMARAS,,"162,943",,"174,613",,"187,842",,"192,874",,1.33,1.55,1.12,0.64
ILOILO *,,"1,805,576",,"1,936,423",,"2,051,899",,"2,082,616",,1.34,1.23,0.82,0.36
CITY OF ILOILO ,,"424,619",,"447,992",,"457,626",,"473,728",,1.02,0.45,0.63,0.83
,,,,,,,,,,,,,
NEGROS ISLAND REGION (NIR) 3,,"4,285,591",,"4,510,115",,"4,760,340",,"4,904,944",,0.98,1.14,0.94,0.72
NEGROS OCCIDENTAL 4*,,"2,396,039",,"2,497,261",,"2,623,172",,"2,680,477",,0.79,1.04,0.80,0.52
CITY OF BACOLOD  4,,"511,820",,"561,875",,"600,783",,"624,787",,1.79,1.42,1.20,0.94
NEGROS ORIENTAL 5,,"1,286,666",,"1,354,995",,"1,432,990",,"1,492,038",,0.99,1.18,1.09,0.97
SIQUIJOR 5,,"91,066",,"95,984",,"103,395",,"107,642",,1.01,1.58,1.29,0.97
,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),,"5,422,448",,"5,945,919",,"6,545,603",,"6,640,875",,1.77,2.04,1.25,0.35
BOHOL,,"1,255,128",,"1,313,560",,"1,394,329",,"1,412,726",,0.87,1.26,0.82,0.31
CEBU *,,"2,619,362",,"2,938,982",,"3,325,385",,"3,400,522",,2.22,2.63,1.65,0.54
CITY OF CEBU ,,"866,171",,"922,611",,"964,169",,"965,332",,1.21,0.93,0.51,0.03
CITY OF LAPU-LAPU,,"350,467",,"408,112",,"497,604",,"497,813",,2.94,4.26,2.25,0.01
CITY OF MANDAUE,,"331,320",,"362,654",,"364,116",,"364,482",,1.73,0.08,0.06,0.02
,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),,"4,101,322",,"4,440,150",,"4,547,150",,"4,625,929",,1.52,0.50,0.46,0.41
BILIRAN,,"161,760",,"171,612",,"179,312",,"184,095",,1.13,0.93,0.79,0.63
EASTERN SAMAR,,"428,877",,"467,160",,"477,168",,"472,683",,1.64,0.45,0.13,-0.23
LEYTE *,,"1,567,984",,"1,724,679",,"1,776,847",,"1,823,458",,1.83,0.63,0.63,0.62
CITY OF TACLOBAN ,,"221,174",,"242,089",,"251,881",,"259,353",,1.73,0.84,0.77,0.70
NORTHERN SAMAR,,"589,013",,"632,379",,"639,186",,"645,789",,1.36,0.23,0.24,0.25
SAMAR,,"733,377",,"780,481",,"793,183",,"806,179",,1.19,0.34,0.36,0.39
SOUTHERN LEYTE,,"399,137",,"421,750",,"429,573",,"434,372",,1.05,0.39,0.33,0.27
,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),,"3,407,353",,"3,629,783",,"3,875,576",,"3,943,837",,1.21,1.39,0.93,0.42
ZAMBOANGA DEL NORTE,,"957,997",,"1,011,393",,"1,047,455",,"1,067,067",,1.04,0.74,0.60,0.45
ZAMBOANGA DEL SUR *,,"959,685",,"1,010,674",,"1,050,668",,"1,045,126",,0.99,0.82,0.38,-0.13
CITY OF ZAMBOANGA,,"807,129",,"861,799",,"977,234",,"1,018,849",,1.26,2.68,1.89,1.01
ZAMBOANGA SIBUGAY,,"584,685",,"633,129",,"669,840",,"661,498",,1.53,1.19,0.49,-0.30
CITY OF ISABELA **,,"97,857",,"112,788",,"130,379",,"151,297",,2.74,3.10,3.35,3.63
,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),,"4,297,323",,"4,689,302",,"5,022,768",,"5,178,326",,1.68,1.46,1.12,0.73
BUKIDNON,,"1,299,192",,"1,415,226",,"1,541,308",,"1,601,902",,1.64,1.81,1.40,0.93
CAMIGUIN,,"83,807",,"88,478",,"92,808",,"94,892",,1.04,1.01,0.79,0.53
LANAO DEL NORTE *,,"607,917",,"676,395",,"722,902",,"761,725",,2.05,1.41,1.34,1.26
CITY OF ILIGAN,,"322,821",,"342,618",,"363,115",,"368,132",,1.14,1.23,0.81,0.33
MISAMIS OCCIDENTAL,,"567,642",,"602,126",,"617,333",,"621,993",,1.13,0.53,0.36,0.18
MISAMIS ORIENTAL *,,"813,856",,"888,509",,"956,900",,"988,065",,1.68,1.57,1.20,0.77
CITY OF CAGAYAN DE ORO ,,"602,088",,"675,950",,"728,402",,"741,617",,2.23,1.58,1.04,0.43
,,,,,,,,,,,,,
REGION XI (DAVAO REGION),,"4,468,563",,"4,893,318",,"5,243,536",,"5,389,422",,1.74,1.46,1.09,0.66
DAVAO DE ORO,,"687,195",,"736,107",,"767,547",,"783,775",,1.32,0.88,0.71,0.50
DAVAO DEL NORTE,,"945,764",,"1,016,332",,"1,125,057",,"1,143,931",,1.38,2.16,1.33,0.40
DAVAO DEL SUR *,,"574,910",,"632,588",,"680,481",,"705,129",,1.84,1.55,1.22,0.86
CITY OF DAVAO,,"1,449,296",,"1,632,991",,"1,776,949",,"1,848,947",,2.30,1.79,1.40,0.96
DAVAO OCCIDENTAL,,"293,780",,"316,342",,"317,159",,"317,598",,1.42,0.05,0.04,0.03
DAVAO ORIENTAL,,"517,618",,"558,958",,"576,343",,"590,042",,1.47,0.65,0.61,0.56
,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),,"3,690,174",,"4,053,514",,"4,360,974",,"4,462,776",,1.80,1.55,1.08,0.55
COTABATO,,"1,078,897",,"1,187,423",,"1,275,185",,"1,286,142",,1.84,1.51,0.90,0.21
SARANGANI,,"498,904",,"544,261",,"558,946",,"580,915",,1.67,0.56,0.73,0.93
SOUTH COTABATO *,,"827,200",,"915,289",,"975,476",,"1,010,009",,1.94,1.35,1.11,0.84
CITY OF GENERAL SANTOS,,"538,086",,"594,446",,"697,315",,"722,059",,1.91,3.41,2.20,0.84
SULTAN KUDARAT,,"747,087",,"812,095",,"854,052",,"863,651",,1.60,1.07,0.69,0.27
,,,,,,,,,,,,,
REGION XIII (CARAGA),,"2,429,224",,"2,596,709",,"2,804,788",,"2,865,196",,1.28,1.63,1.11,0.51
AGUSAN DEL NORTE *,,"332,487",,"354,503",,"387,503",,"404,100",,1.23,1.89,1.48,1.01
CITY OF BUTUAN ,,"309,709",,"337,063",,"372,910",,"385,530",,1.62,2.15,1.52,0.80
AGUSAN DEL SUR,,"656,418",,"700,653",,"739,367",,"740,531",,1.25,1.14,0.62,0.04
DINAGAT ISLANDS,,"126,803",,"127,152",,"128,117",,"120,533",,0.05,0.16,-0.60,-1.45
SURIGAO DEL NORTE,,"442,588",,"485,088",,"534,636",,"565,644",,1.76,2.07,1.74,1.36
SURIGAO DEL SUR,,"561,219",,"592,250",,"642,255",,"648,858",,1.03,1.72,1.03,0.25
,,,,,,,,,,,,,
"BANGSAMORO AUTONOMOUS REGION 
IN MUSLIM MINDANAO (BARMM)",,"3,675,537",,"4,273,149",,"4,944,800",,"5,691,583",,2.91,3.12,3.26,3.43
BASILAN,,"293,322",,"346,579",,"426,207",,"541,947",,3.23,4.45,5.14,5.93
LANAO DEL SUR,,"933,260",,"1,045,429",,"1,195,518",,"1,368,137",,2.18,2.86,3.06,3.29
MAGUINDANAO DEL NORTE 6,,"708,950",,"836,338",,"943,500",,"1,124,811",,3.19,2.57,3.38,4.31
MAGUINDANAO DEL SUR 6,,"507,554",,"637,033",,"723,758",,"813,243",,4.42,2.72,2.77,2.84
SULU,,"718,290",,"824,731",,"1,000,108",,"1,146,097",,2.66,4.14,3.76,3.32
TAWI-TAWI,,"366,550",,"390,715",,"440,276",,"482,645",,1.22,2.54,2.40,2.23
SPECIAL GEOGRAPHIC AREA 7**,,"147,611",,"192,324",,"215,433",,"214,703",,5.16,2.42,1.24,-0.08
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
* Population counts for the provinces exclude the counts of Highly Urbanized Cities.,,,,,,,,,,,,,
** Not a Province/HUC.,,,,,,,,,,,,,
,,,,,,,,,,,,,
a,"Population counts for the regions do not add up to the national total. Includes 2,739 Filipinos in Philippine embassies, consulates, and mission abroad.",,,,,,,,,,,,
b,"Population counts for the regions do not add up to the national total. Includes 2,134 Filipinos in Philippine embassies, consulates, and mission abroad.",,,,,,,,,,,,
c,"Population counts for the regions do not add up to the national total. Includes 2,098 Filipinos in Philippine embassies, consulates, and mission abroad.",,,,,,,,,,,,
d,"Population counts for the regions do not add up to the national total. Includes 1,708 Filipinos in Philippine embassies, consulates, and mission abroad.",,,,,,,,,,,,
,,,,,,,,,,,,,
1,"Excludes 10 barangays transferred to the City of Taguig, in accordance with the Supreme Court decision in General Register (G.R.) 235316 dated 01 December 2021.",,,,,,,,,,,,
2,"Includes 10 barangays transferred from the City of Makati, in accordance with the Supreme Court decision in GR 235316 dated 01 December 2021.",,,,,,,,,,,,
3,Re-established into a region under Republic Act (RA) No. 12000 dated 11 June 2024.,,,,,,,,,,,,
4,Transferred province under RA No. 12000; taken from Region VI - Western Visayas.,,,,,,,,,,,,
5,Transferred province under RA No. 12000; taken from Region VII - Central Visayas.,,,,,,,,,,,,
6,Created into a province through the division of the Province of Maguindanao under RA No. 11550; ratified on 17 September 2022.,,,,,,,,,,,,
7,Renamed from Interim Province; comprised of eight newly created municipalities under the Bangsamoro Autonomy Act Nos. 41 to 48 dated 15 September 2022; ratified on 13 April 2024.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,
"Philippine Statistics Authority, 2010 Census of Population and Housing",,,,,,,,,,,,,
                                                2015 Census of Population,,,,,,,,,,,,,
                                                2020 Census of Population and Housing,,,,,,,,,,,,,
                                                2024 Census of Population,,,,,,,,,,,,,